question_uid,canonical_text_en,canonical_text_fr,section_uid,point_type,answer_type,first_seen_version,last_seen_version,version_count,field_names,reworded,status,parent_question_uid,is_follow_up
125, Indicate the open source licence that applies.,"Si à code source ouvert, veuillez indiquer la licence à code source ouvert utilisée.",11,raw,text,1.0.0,1.0.1,2,aboutSystem5A,N,active,124,Y
126,Has the product been customized to add functionality beyond what is available off the shelf?,"S'il s'agit d'une solution à code source ouvert ou d'une solution COTS, a-t-elle été modifiée de sorte qu'elle comprenne d'autres fonctionnalités que celles offertes sur le marché?",11,raw,radiogroup,1.0.0,1.0.1,2,aboutSystem5B,N,active,124,Y
127,Specify what has been customized and who performed the customization.,"Si oui, précisez les éléments qui ont été modifiés et l'organisation qui a procédé aux modifications.",11,raw,comment,1.0.0,1.0.1,2,aboutSystem5C,N,active,124,Y
128,Is there a group in your institution responsible for identifying and implementing opportunities for improvement?,Un groupe de votre organisation est-il chargé de recenser les améliorations possibles et de les apporter?,11,raw,radiogroup,1.0.0,1.0.1,2,aboutSystem7,N,active,,N
129,"Does your system conform with the appropriate clauses of standard CAN/ASC EN 301 549:2024, Accessibility requirements for Information and Communication Technology (ICT) products and services? ","Votre système est-il conforme aux dispositions appropriées de la norme CAN/ASC EN 301 549:2024, Exigences d'accessibilité pour les produits et services des technologies de l'information et de la communication (TIC)?",11,raw,radiogroup,1.0.0,1.0.1,2,aboutSystem8,N,active,,N
130,"If no, describe why the system does not conform.","Si non, expliquez en quoi votre système n'est pas conforme.",11,raw,comment,1.0.0,1.0.1,2,aboutSystem8A,N,active,129,Y
131,Is a non-automated alternative planned and available in the event the automated decision system was unavailable for an extended period of time?,Une solution non automatisée est-elle également prévue et fonctionnelle au cas où le système décisionnel automatisé serait indisponible pendant une période prolongée?,11,raw,radiogroup,1.0.0,1.0.1,2,aboutSystem9,N,active,,N
132,"The impacts that the development, operation, and maintenance of the system could have on the ongoing sustainability of an environmental ecosystem, may be:","L'incidence de la mise au point, de l'exploitation et de l'entretien du système sur la durabilité d'un écosystème environnemental sera :",11,raw,dropdown,1.0.0,1.0.1,2,aboutSystem11,N,active,,N
133,"Describe why the impacts resulting from the system's development, operations and maintenance are as selected.",Veuillez expliquer votre réponse.,11,raw,comment,1.0.0,1.0.1,2,aboutSystem12,N,active,,N
134,Is the algorithm (Check all that apply):,L'algorithme est (cochez toutes les réponses qui s'appliquent) :,12,raw,checkbox,1.0.0,1.0.1,2,aboutAlgorithm3,N,active,,N
135,"If the automated decision-system is model based, is the model inference (select all that apply):","Si le système décisionnel automatisé est fondé sur un modèle, l'inférence du modèle est-elle (cochez toutes les réponses qui s'appliquent) :",12,raw,checkbox,1.0.0,1.0.1,2,aboutAlgorithm4,N,active,,N
136,Is the model: ,Le modèle est : ,12,raw,radiogroup,1.0.0,1.0.1,2,aboutAlgorithm5,N,active,,N
137,Describe the model being used.,Veuillez décrire le modèle utilisé.,12,raw,comment,1.0.0,1.0.1,2,aboutAlgorithm6,N,active,,N
138,Explain why you chose the model,Expliquez pourquoi vous avez choisi ce modèle.,12,raw,comment,1.0.0,1.0.1,2,aboutAlgorithm7,N,active,,N
139,Will the algorithm continue to learn and evolve as it is used?,L'algorithme continuera-t-il à apprendre et à évoluer à mesure qu'il est utilisé?,12,raw,radiogroup,1.0.0,1.0.1,2,aboutAlgorithm8,N,active,,N
140,"If yes, are there mechanisms in place to monitor the changes?","Si oui, des mécanismes ont-ils été mis en place pour vous permettre d'en suivre l'évolution?",12,raw,radiogroup,1.0.0,1.0.1,2,aboutAlgorithm8A,N,active,139,Y
141,Does the algorithm consider protected characteristics to make its decisions or recommendations?,L'algorithme tient-il compte des caractéristiques protégées lors de la prise de décisions ou de la formulation de recommandations?,12,raw,radiogroup,1.0.0,1.0.1,2,aboutAlgorithm9,N,active,,N
142,Describe why protected characteristics are being considered and any mitigations in place to address potential issues with bias or discrimination.,"Veuillez préciser les raisons pour lesquelles les caractéristiques protégées sont prises en compte et les mesures d'atténuation mises en place pour résoudre les problèmes de biais ou de discrimination, le cas échéant.",12,raw,comment,1.0.0,1.0.1,2,aboutAlgorithm9A,N,active,141,Y
143,Have you evaluated whether variables that the system bases its decisions or recommendations on could be proxies for protected characteristics?,Avez-vous vérifié si les variables sur lesquelles le système fonde ses décisions ou ses recommandations pourraient être des substituts de caractéristiques protégées?,12,raw,radiogroup,1.0.0,1.0.1,2,aboutAlgorithm11,N,active,,N
144,"Describe which protected characteristics, risks identified, and how they have been addressed.","Veuillez décrire les caractéristiques protégées, les risques recensés et les mesures prises pour les gérer.",12,raw,comment,1.0.0,1.0.1,2,aboutAlgorithm11A,N,active,143,Y
145,Describe why you have not evaluated whether variables could be proxies for protected characteristics.,Veuillez préciser les raisons pour lesquelles vous n'avez pas vérifié si les variables peuvent être des substituts de caractéristiques protégées.,12,raw,comment,1.0.0,1.0.1,2,aboutAlgorithm11B,N,active,143,Y
146,Describe,Veuillez expliquer votre réponse.,4,raw,comment,1.0.0,1.0.1,2,decisionSector2,N,active,11,Y
147,Describe.,Veuillez préciser.,5,raw,comment,1.0.0,1.0.1,2,impact3A,N,active,,N
148,"Have you assessed system performance for clients with a range of personal and intersectional identity factors (for example, gender, age, race, language, ethnicity, disability) to verify that decisions and outcomes are fair for a diverse group of people, and have the identified disparities been addressed?","Avez-vous évalué le rendement du système pour les personnes ayant plusieurs facteurs d’identité personnels et intersectionnels (par exemple, le genre, l’âge, la race, la langue, l’origine ethnique ou le handicap) afin de vous assurer que les décisions et les incidences sont équitables pour un groupe diversifié de personnes, et les disparités relevées ont-elles été corrigées?",5,raw,radiogroup,1.0.0,1.0.1,2,impact18,N,active,,N
149,Describe why system performance has not been assessed for clients with a range of personal and intersectional identity factors and what mitigations are in place.,Expliquez pourquoi le rendement du système n’a pas été évalué pour les personnes ayant plusieurs facteurs d’identité personnels et intersectionnels et quelles mesures d’atténuation sont en place.,5,raw,comment,1.0.0,1.0.1,2,impact18A,N,active,148,Y
150,Describe your approach to assessing system performance.,Décrivez l’approche que vous avez adoptée pour évaluer le rendement du système.,5,raw,comment,1.0.0,1.0.1,2,impact18B,N,active,148,Y
151,"Describe your approach to assessing system performance, the difference in system performance identified and any mitigation measures that have been taken.","Décrivez l’approche que vous avez adoptée pour évaluer le rendement du système, les différences de rendement du système observées et les mesures d’atténuation qui ont été prises à cet égard.",5,raw,comment,1.0.0,1.0.1,2,impact18C,N,active,148,Y
152,Have you tested system performance for clients with a variety of different disabilities?,Avez-vous testé le rendement du système auprès de personnes ayant divers handicaps?,5,raw,radiogroup,1.0.0,1.0.1,2,impact19I,N,active,,N
153,Describe any differences in system performance identified and mitigations in place to address them.,"Si oui, décrivez les écarts de rendement constatés et les mesures d'atténuation mises en place pour y remédier.",5,raw,comment,1.0.0,1.0.1,2,impact19IY,N,active,152,Y
154,Describe why system performance has not been assessed across a variety of disabilities.,"Si non, décrivez les raisons pour lesquelles le rendement du système n'a pas été évalué auprès de personnes ayant divers handicaps.",5,raw,comment,1.0.0,1.0.1,2,impact19IN,N,active,152,Y
155,Describe,Veuillez expliquer votre réponse.,5,raw,comment,1.0.0,1.0.1,4,impact23Y; impact23N,N,active,97,Y
156,What proportion of clients will the system be applied to?,Quelle proportion de la clientèle sera prise en charge par le système?,5,raw,dropdown,1.0.0,1.0.1,2,impact26,N,active,,N
157,Describe why the proportion of clients subject to use of tool is unknown.,Veuillez expliquer la raison pour laquelle la proportion de la clientèle prise en charge par le système est inconnue.,5,raw,comment,1.0.0,1.0.1,2,impact26U,N,active,156,Y
158,Could not being subject to the use of the tool have a negative impact on an individual or groups of individuals?,Les personnes ou les groupes de personnes qui ne seront pas pris en charge par le système seront-elles pénalisées?,5,raw,radiogroup,1.0.0,1.0.1,2,impact27,N,active,156,Y
159,Describe,Veuillez expliquer votre réponse.,5,raw,comment,1.0.0,1.0.1,2,impact27YN,N,active,156,Y
160,The impact of individuals being wrongfully included or overlooked by the system could be:,L'incidence sur les personnes qui ont été indûment prises en charge ou exclues par le système pourrait être :,5,raw,dropdown,1.0.0,1.0.1,2,impact28,N,active,,N
161,Describe why the impact of being wrongfully included or overlooked by the system is as selected.,Expliquez pourquoi l'incidence d'une erreur quant à la prise en charge ou à l'exclusion d'une personne par le système est telle que vous l'avez mentionnée.,5,raw,comment,1.0.0,1.0.1,2,impact28A,N,active,,N
162,Will the personal information be shared (check all that apply),Les renseignements personnels recueillis seront-ils communiqués? (Cochez toutes les réponses qui s'appliquent):,19,raw,checkbox,1.0.0,1.0.1,2,aboutDataSource14,N,active,20,Y
163,Please specify,Précisez,19,raw,comment,1.0.0,1.0.1,2,aboutDataSource14A,N,active,20,Y
164,Is the training and testing data for the system representative of the clients being served? ,Les données utilisées aux fins de l'apprentissage du système et des essais réalisés sur celui-ci cadrent-elles avec la clientèle desservie?  ,19,raw,radiogroup,1.0.0,1.0.1,2,aboutDataSource15,N,active,,N
165,Describe how you have assessed that data was representative. ,Veuillez préciser les mesures que vous avez prises pour vérifier que les données cadrent bien avec celle-ci. ,19,raw,comment,1.0.0,1.0.1,4,aboutDataSource15Y; aboutDataSource15U,Y,active,164,Y
166,Explain why the data is not representative and indicate how this has or will be managed.    ,Veuillez expliquer les raisons pour lesquelles les données ne cadrent pas avec celle-ci et indiquez les mesures prises pour y remédier ou celles qui seront prises. ,19,raw,comment,1.0.0,1.0.1,2,aboutDataSource15N,N,active,164,Y
167,Are there biases in the training data that could increase the likelihood of discriminatory outcomes or lead to other impacts on human rights? ,Les données d'apprentissage comportent-elles des biais susceptibles d'accroître le risque de discrimination ou de toute autre répercussion sur les droits de la personne? ,19,raw,radiogroup,1.0.0,1.0.1,2,aboutDataSource16,N,active,,N
168,Explain the biases identified and any mitigations to address this. ,Veuillez expliquer les biais constatés et les mesures d'atténuation prises pour y remédier.   ,19,raw,comment,1.0.0,1.0.1,2,aboutDataSource16Y,N,active,167,Y
169,Explain the process taken to confirm that there are no biases in the training data that could increase the likelihood of discriminatory outcomes or other impacts on human rights.,Expliquez les mesures prises pour garantir que les données d'apprentissage ne comportent aucun biais susceptible d'accroître le risque de discrimination ou de toute autre répercussion sur les droits de la personne.,19,raw,comment,1.0.0,1.0.1,4,aboutDataSource16N; aboutDataSource16U,Y,active,167,Y
170,Please specify,Précisez,19,raw,text,1.0.0,1.0.1,2,aboutDataSource2A,N,active,21,Y
171,Are there measures in place to ensure the accuracy of the personal information used?,Des mesures ont-elles été mises en place pour garantir l'exactitude des renseignements personnels utilisés?,19,raw,radiogroup,1.0.0,1.0.1,2,aboutDataSource17,N,active,,N
172,"If yes, describe the measures taken to ensure and verify the accuracy of personal information.",Décrivez les mesures prises pour garantir et vérifier l'exactitude des renseignements personnels. ,19,raw,comment,1.0.0,1.0.1,4,aboutDataSource17Y; aboutDataSource17N,Y,active,171,Y
173,Describe ,Veuillez préciser ,19,raw,comment,1.0.0,1.0.1,2,aboutDataSource17U,N,active,171,Y
174,Has there been a decision to exclude certain data? ,Avez-vous décidé d'exclure certaines données? ,19,raw,radiogroup,1.0.0,1.0.1,2,aboutDataSourceType3,N,active,,N
175,Describe why data has been excluded ,Veuillez expliquer la raison pour laquelle ces données ont été exclues. ,19,raw,comment,1.0.0,1.0.1,2,aboutDataSourceType3A,N,active,174,Y
176,"Identify the consultees or partners and indicate the project lifecycle stage (Concept, Design, Data collection and processing, Building or adapting the model, Testing, Deployment, Production, Monitoring, Decommission) in which the engagement will take place."," Indiquez les partenaires ou les parties consultantes et l'étape du cycle de vie du projet (par exemple, le plan de conception, la conception, la collecte de données et le traitement, l'élaboration ou l'adaptation du modèle, la mise à l'essai, le déploiement, la production, la surveillance et la mise hors service) au cours de laquelle les activités de consultation dérouleront.",20,mitigation,comment,1.0.0,1.0.1,4,consultationDesign5; consultationImplementation5,Y,active,,N
177,Will you consult with the clients that will be most impacted by the system?,Allez-vous consulter les personnes pour lesquelles les incidences de la mise en œuvre du système seront les plus importantes?,20,mitigation,radiogroup,1.0.0,1.0.1,8,consultationDesign6; consultationDesign7; consultationImplementation6; consultationImplementation7,Y,active,,N
178,Explain why you did not consult the clients that will be most impacted by the system.  ,Expliquez pourquoi vous n'allez pas consulter les personnes qui seront les plus touchées par la mise en œuvre du système.,20,mitigation,comment,1.0.0,1.0.1,8,consultationDesign6A; consultationDesign7A; consultationImplementation6A; consultationImplementation7A,Y,active,177,Y
179,Explain why you are unsure. ,Expliquez votre réponse,20,mitigation,comment,1.0.0,1.0.1,8,consultationDesign6B; consultationDesign7B; consultationImplementation6B; consultationImplementation7B,Y,active,177,Y
180,Have consultees or partners raised any significant concerns about the system in the following areas:,Les partenaires ou les parties consultantes ont-elles soulevé des préoccupations importantes à l'égard des aspects du système qui suivent?,20,mitigation,checkbox,1.0.0,1.0.1,4,consultationDesign8; consultationImplementation8,N,active,,N
181,Describe how the identified concerns have been assessed and managed. ,"Si vous avez sélectionné un ou plusieurs énoncés, décrivez la manière dont les préoccupations soulevées ont été évaluées et gérées. ",20,mitigation,comment,1.0.0,1.0.1,4,consultationDesign8A; consultationImplementation8A,N,active,180,Y
182,"Explain how you documented, analyzed and addressed the feedback received.","Expliquez comment vous avez documenté, analysé et traité la rétroaction reçue.",20,mitigation,comment,1.0.0,1.0.1,4,consultationDesign9; consultationImplementation9,N,active,,N
183,Summarize the process or provide a link if publicly available.  ,Veuillez décrire brièvement le processus ou fournir un lien s'il est accessible au public.,22,mitigation,comment,1.0.0,1.0.1,2,dataQualityDesign11,N,active,65,Y
184,Summarize the process or provide a link if publicly available.  ,Veuillez décrire brièvement le processus ou fournir un lien s'il est accessible au public.,22,mitigation,comment,1.0.0,1.0.1,6,dataQualityDesign12; dataQualityDesign9A; dataQualityImplementation12,Y,active,30,Y
185,Summarize the findings or provide a link if publicly available.,Veuillez résumer les résultats ou fournir un lien s'ils sont accessibles au public.,22,mitigation,comment,1.0.0,1.0.1,4,dataQualityDesign7A; dataQualityImplementation6A,Y,active,31,Y
186,Summarize the process or provide a link if publicly available.  ,Veuillez décrire brièvement le processus ou fournir un lien s'il est accessible au public.,23,mitigation,comment,1.0.0,1.0.1,2,dataQualityImplementation11,N,active,67,Y
187,Summarize the process or provide a link if publicly available.  ,Veuillez décrire brièvement le processus ou fournir un lien s'il est accessible au public.  ,23,mitigation,comment,1.0.0,1.0.1,2,dataQualityImplementation9A,N,active,33,Y
188,"Will all key decision points in the automated system's logic be linked to the relevant legislation, policy or procedure?","Les principaux points de décision compris dans la logique du système automatisé sont-ils tous reliés aux lois, aux politiques ou aux procédures applicables, ou le seront-ils?",24,mitigation,radiogroup,1.0.0,1.0.1,4,fairnessDesign1A; fairnessImplementation1A,Y,active,,N
189,Describe how user feedback informs updates to the system. ,"Si oui, veuillez décrire la façon dont la rétroaction sera prise en compte dans les mises à jour du système. ",24,mitigation,comment,1.0.0,1.0.1,4,fairnessDesign12A; fairnessImplementation12A,Y,active,46,Y
190,Describe why user feedback is not captured. ,"Si non, veuillez expliquer pourquoi la rétroaction n'a pas été prise en compte. ",24,mitigation,comment,1.0.0,1.0.1,4,fairnessDesign12B; fairnessImplementation12B,Y,active,46,Y
191,Provide information on the recourse process or link to a website where this is described.  ,Veuillez fournir des renseignements sur la procédure de recours ou un lien vers un site web où cette procédure est décrite. ,24,mitigation,comment,1.0.0,1.0.1,4,fairnessDesign13A; fairnessImplementation13A,Y,active,42,Y
192,Will you undertake mitigations in algorithm development and model testing to address bias and discrimination? ,"Des mesures d'atténuation ont-elles été prises lors de l'élaboration des algorithmes et des essais de modèles pour éliminer tout biais et élément discriminatoire, ou le seront-elles? ",24,mitigation,radiogroup,1.0.0,1.0.1,4,fairnessDesign18; fairnessImplementation18,Y,active,,N
193,Describe the metrics used and any mitigations taken to address identified issues.,Veuillez décrire les paramètres et les mesures d'atténuation utilisés pour remédier aux problèmes constatés.,24,mitigation,comment,1.0.0,1.0.1,4,fairnessDesign18A; fairnessImplementation18A,Y,active,192,Y
194,Will the system only consider input data and information relevant to the decision? ,Le système ne s'appuie-t-il que sur les données d'entrée et l'information se rapportant à la décision?  ,24,mitigation,radiogroup,1.0.0,1.0.1,4,fairnessDesign19; fairnessImplementation19,Y,active,,N
195,Are the system rules directly relevant to the administrative decision? ,Les règles du système sont-elles directement liées aux décisions administratives?,24,mitigation,radiogroup,1.0.0,1.0.1,4,fairnessDesign20; fairnessImplementation20,N,active,,N
196,Indicate additional procedural fairness protections in place (check all that apply): ,Veuillez indiquer toute autre mesure prise pour garantir l'équité procédurale (cochez toutes les réponses qui s'appliquent) : ,24,mitigation,checkbox,1.0.0,1.0.1,4,fairnessDesign21; fairnessImplementation21,N,active,,N
197,Describe,Précisez,24,mitigation,comment,1.0.0,1.0.1,4,fairnessDesign21A; fairnessImplementation21A,N,active,196,Y
198,Are there processes in place to ensure impartiality and ethical conduct by the decision-maker in the use of the system and its outputs? ,Des processus visant à garantir l'impartialité et l'éthique de la personne responsable de prendre les décisions quant à l'utilisation du système et à ses résultats ont-ils été mis en place? ,24,mitigation,radiogroup,1.0.0,1.0.1,4,fairnessDesign22; fairnessImplementation22,N,active,,N
199,Will you undertake training on appropriate use and awareness of risks associated with automation bias?,Avez-vous suivi une formation sur l'utilisation appropriée et la sensibilisation aux risques associés aux biais d'automatisation ou avez-vous l'intention de le faire? ,24,mitigation,radiogroup,1.0.0,1.0.1,4,fairnessDesign22A; fairnessImplementation22A,Y,active,,N
200,Will your team be regularly retraining the model or reviewing the rules? ,Votre équipe procédera-t-elle régulièrement à la mise à jour du modèle ou à l'examen des règles? ,24,mitigation,radiogroup,1.0.0,1.0.1,4,fairnessDesign23; fairnessImplementation23,N,active,,N
201,Do you have monitoring processes in place to detect changes in system performance over time? ,Disposez-vous de processus de surveillance qui vous permettront de déceler les changements liés au rendement du système au fil du temps?,24,mitigation,radiogroup,1.0.0,1.0.1,4,fairnessDesign24; fairnessImplementation24,N,active,,N
202,Do you have a process in place to update the system based on the monitoring results? ,Disposez-vous d'un processus de mise à jour du système fondé sur les résultats du processus de surveillance?,24,mitigation,radiogroup,1.0.0,1.0.1,4,fairnessDesign24A; fairnessImplementation24A,N,active,201,Y
203,Describe ,Veuillez expliquer votre réponse. ,24,mitigation,comment,1.0.0,1.0.1,4,fairnessDesign24AA; fairnessImplementation24AA,N,active,201,Y
204,Indicate why monitoring processes are not in place.,Indiquez pourquoi aucun processus de surveillance n'est en place.,24,mitigation,comment,1.0.0,1.0.1,4,fairnessDesign24B; fairnessImplementation24B,N,active,201,Y
205,Describe,Veuillez préciser.,26,mitigation,comment,1.0.0,1.0.1,8,privacyDesign2A; privacyDesign9A; privacyImplementation2A; privacyImplementation9A,Y,active,72,Y
206,Will you design and build privacy into your systems from the concept stage of the project?,"Avez-vous conçu des mesures de la protection des renseignements personnels et les avez-vous intégrées dans vos systèmes dès l'étape de la conception du projet, ou avez-vous l'intention de le faire?",26,mitigation,radiogroup,1.0.0,1.0.1,4,privacyDesign9; privacyImplementation9,Y,active,,N
